Package                          Version   Latest    Type
shortuuid                        1.0.7     1.0.8     wheel
six                              1.15.0    1.16.0    wheel
smmap                            3.0.5     5.0.0     wheel
sortedcontainers                 2.3.0     2.4.0     wheel
SQLAlchemy                       1.4.26    1.4.31    wheel
starlette                        0.17.1    0.18.0    wheel
statsmodels                      0.12.0    0.13.2    wheel
streamlit                        0.80.0    1.5.1     wheel
syntok                           1.3.1     1.4.2     wheel
tangled-up-in-unicode            0.0.6     0.2.0     wheel
tensorboard                      2.7.0     2.8.0     wheel
tensorboard-plugin-wit           1.8.0     1.8.1     wheel
tensorflow                       2.6.1     2.8.0     wheel
tensorflow-estimator             2.5.0     2.8.0     wheel
tensorflow-gpu                   2.5.0     2.8.0     wheel
tensorflow-text                  2.6.0     2.8.1     wheel
terminado                        0.8.3     0.13.1    wheel
testpath                         0.4.4     0.5.0     wheel
threadpoolctl                    2.1.0     3.1.0     wheel
tokenizers                       0.10.3    0.11.5    wheel
toml                             0.10.1    0.10.2    wheel
toolz                            0.11.1    0.11.2    wheel
tornado                          6.0.4     6.1       wheel
tqdm                             4.49.0    4.62.3    wheel
traitlets                        5.0.4     5.1.1     wheel
transformers                     4.10.3    4.16.2    wheel
typed-ast                        1.4.1     1.5.2     wheel
typing-extensions                3.7.4.3   4.1.1     wheel
tzlocal                          2.1       4.1       wheel
urllib3                          1.25.10   1.26.8    wheel
uvicorn                          0.17.3    0.17.5    wheel
visions                          0.5.0     0.7.5     wheel
wandb                            0.12.6    0.12.10   wheel
watchdog                         1.0.2     2.1.6     wheel
websocket-client                 1.2.1     1.2.3     wheel
Werkzeug                         2.0.1     2.0.3     wheel
wheel                            0.36.2    0.37.1    wheel
widgetsnbextension               3.5.1     3.5.2     wheel
wrapt                            1.12.1    1.13.3    wheel
xgboost                          1.2.0     1.5.2     wheel
zipp                             3.1.0     3.7.0     wheel
